1|192a41K|210717|N&A Soursop Flavor Oils - O.S. - |0|NULL|NULL|NULL|NULL|NULL|50.00|0.00|grams|lbs|grams|No|NULL|NULL|0|NULL|100.00%|NULL|1|NULL|NULL|NULL|No|No|0|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
2|187a06K|210737|N&A Pumpkin Pie Flavor Oils - O.S. - |0|NULL|NULL|NULL|NULL|NULL|50.00|0.00|grams|lbs|grams|No|NULL|NULL|0|NULL|100.00%|NULL|1|NULL|NULL|NULL|No|No|0|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
3|US-B126|200440|N&A Banana Pineapple Flavor - W.S. - K|4874|2/26/2008|2/25/2008|NULL|NULL|Bridget McGowan|25.00|0.00|lbs|lbs|lbs|Yes|NULL|NULL|5|Marcelino|98.50%|080225-5|1|50-G Wheels|"Net Weight = 5 x 25# pails 

MUST BE PACKED 25 lbs PER PAIL"|NULL|Yes|Yes|1094|Farleys and Sathers PO#85563|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
5|US-B126K|200430|N&A Banana Pineapple Flavor - W.S. - K|4874|2/22/2008|2/25/2008|NULL|NULL|Bridget McGowan|21.05|0.00|lbs|grams|lbs|Yes|NULL|NULL|1|Marcelino|98.00%|080225-4|1|Stainless Steel mix pot|Intermediate to US-B126|NULL|Yes|Yes|820|Farleys and Sathers PO#85563|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
10|197a69|209684|N&A Vanilla Flavor - W.S. - K|5188|2/26/2008|2/20/2008|NULL|NULL|Bridget McGowan|1892.00|0.00|lbs|lbs|lbs|Yes|NULL|NULL|1|Marcelino|98.00%|080220-1|1|250-G Jacketed Kettle|Net  Weight = 4 x 473# drums|NULL|Yes|Yes|641|BGC Manufacturing PO#54665|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
11|US-B295|206460|Artificial Butter Flavor - W.S. - K|4790|2/29/2008|2/25/2008|NULL|2/25/2008|Bridget McGowan|120.00|0.00|lbs|lbs|lbs|Yes|NULL|NULL|1|Marcelino|98.00%|080225-2|1|50-G Wheels|Net Weight = 3 x 40# pails|NULL|Yes|Yes|777|Bunge Oils PO#4500319079|2/5/2008|080205-1|NULL|Y|clear colorless liquid|char of butter|NULL|NULL|0.20% in 0.60% salt water|char of butter|n|NULL|NULL|NULL|y|NULL|3 x 40#|NULL|NULL|
12|US-B290|206450|Artificial Butter Enhancer - W.S.|4790|2/29/2008|2/25/2008|NULL|NULL|Bridget McGowan|24.48|0.00|lbs|grams|lbs|Yes|NULL|N/A|1|Marcelino|98.00%|080225-1|1|Stainless Steel mix pot|Intermediate to US-B295|NULL|Yes|Yes|772|Bunge Oils PO#4500319079|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
14|US-V6916K|206890|Natural Vanilla Flavor WONF|4735|2/15/2008|2/14/2008|NULL|NULL|Bridget McGowan|115.67|0.00|grams|grams|grams|Yes|NULL|N/A|1|Marcelino|98.00%|080215-2|1|Stainless Steel mix pot|Intermediate to 197a41|NULL|Yes|Yes|656|All American PO#2607A|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
15|197a41|206850|Natural Vanilla Flavor WONF - PLATED - K|4735|2/15/2008|2/15/2008|NULL|NULL|Bridget McGowan|100.00|0.00|lbs|lbs|lbs|Yes|NULL|NULL|1|Marcelino|98.00%|080215-1|1|Ribbon Blender|Net Weight = 2 x 50# cartons|6|Yes|Yes|664|All American  PO#2607A|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
19|124a07|201260|N&A Caramel Flavor - O.S. - K|5165|2/15/2008|2/14/2008|NULL|2/14/2008|Bridget McGowan|38.00|0.00|lbs|grams|lbs|Yes|NULL|NULL|1|Marcelino|97.00%|080214-1|1|5-G Pail|Net Weight = 1 x 38# pails|NULL|Yes|Yes|689|James Skinner PO#76578|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
